REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS,X_Coordinates,Y_Coordinates,Zones,X_Coordinates.1,Y_Coordinates.1,Zones.1
201651130,2016-02-11,1314,SHOPLIFTING,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M,-76.504475,37.119529,M
201601385,2016-02-12,2001,SHOPLIFTING,12000 BLK JEFFERSON AVE,-76.4871821,37.0973237,O,-76.4871821,37.0973237,O
201651158,2016-02-12,2035,SHOPLIFTING,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M,-76.504475,37.119529,M
201601405,2016-02-13,1700,SHOPLIFTING,12000 BLK JEFFERSON AVE,-76.4871821,37.0973237,O,-76.4871821,37.0973237,O
201601407,2016-02-13,1718,SHOPLIFTING,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C,-76.4441522,37.0204523,C
201601486,2016-02-16,1458,SHOPLIFTING,0 BLK HIDEN BLVD,-76.5004773,37.0676714,R,-76.5004773,37.0676714,R
201651254,2016-02-17,1014,SHOPLIFTING,11700 BLK JEFFERSON AVE,-76.4747446,37.0755734,C,-76.4747446,37.0755734,C
201601509,2016-02-17,1232,SHOPLIFTING,600 BLK PILOT HOUSE DR,-76.4780842,37.0807253,C,-76.4780842,37.0807253,C
201651259,2016-02-17,1552,SHOPLIFTING,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C,-76.4441522,37.0204523,C
201601525,2016-02-18,137,SHOPLIFTING,3600 BLK WASHINGTON AVE,-76.4344579,36.9851225,C,-76.4344579,36.9851225,C
201601541,2016-02-18,1314,SHOPLIFTING,600 BLK PILOT HOUSE DR,-76.4780842,37.0807253,C,-76.4780842,37.0807253,C
201601549,2016-02-19,838,SHOPLIFTING,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M,-76.504475,37.119529,M
201601568,2016-02-19,1855,SHOPLIFTING,5900 BLK JEFFERSON AVE,-76.4377798,37.0094596,C,-76.4377798,37.0094596,C
201601577,2016-02-19,2338,SHOPLIFTING,13000 BLK WARWICK BLVD,-76.5119247,37.1047618,C,-76.5119247,37.1047618,C
201601588,2016-02-20,1635,SHOPLIFTING,600 BLK STONEY CREEK LN,-76.520323,37.1424356,R,-76.520323,37.1424356,R
201601589,2016-02-20,1735,SHOPLIFTING,12300 BLK JEFFERSON AVE,-76.495616,37.112658,C,-76.495616,37.112658,C
201601623,2016-02-22,1100,SHOPLIFTING,14800 BLK WARWICK BLVD,-76.541317,37.135346,R,-76.541317,37.135346,R
201601677,2016-02-24,1455,SHOPLIFTING,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M,-76.504475,37.119529,M
201601679,2016-02-24,1652,SHOPLIFTING,0 BLK HIDEN BLVD,-76.5004773,37.0676714,R,-76.5004773,37.0676714,R
201601702,2016-02-25,1321,SHOPLIFTING,600 BLK STONEY CREEK LN,-76.520323,37.1424356,R,-76.520323,37.1424356,R
201651457,2016-02-25,1450,SHOPLIFTING,14800 BLK WARWICK BLVD,-76.541317,37.135346,R,-76.541317,37.135346,R
201601705,2016-02-25,1508,SHOPLIFTING,2300 BLK JEFFERSON AVE,-76.4199088,36.9795191,R,-76.4199088,36.9795191,R
201651467,2016-02-25,1951,SHOPLIFTING,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C,-76.4441522,37.0204523,C
201601712,2016-02-25,2134,SHOPLIFTING,14800 BLK WARWICK BLVD,-76.541317,37.135346,R,-76.541317,37.135346,R
201651478,2016-02-26,1053,SHOPLIFTING,3600 BLK WASHINGTON AVE,-76.4344579,36.9851225,C,-76.4344579,36.9851225,C
201651488,2016-02-26,1805,SHOPLIFTING,12300 BLK JEFFERSON AVE,-76.495616,37.112658,C,-76.495616,37.112658,C
201651499,2016-02-26,2016,SHOPLIFTING,12300 BLK JEFFERSON AVE,-76.495616,37.112658,C,-76.495616,37.112658,C
201601750,2016-02-27,1419,SHOPLIFTING,300 BLK CHATHAM DR,-76.5119698,37.1243049,C,-76.5119698,37.1243049,C
201651521,2016-02-27,1753,SHOPLIFTING,300 BLK CHATHAM DR,-76.5119698,37.1243049,C,-76.5119698,37.1243049,C
201601794,2016-02-29,1728,SHOPLIFTING,100 BLK OTTIS ST,-76.4716337,37.1128373,C,-76.4716337,37.1128373,C
201601803,2016-03-01,831,SHOPLIFTING,14400 BLK WARWICK BLVD,-76.5365804,37.1298249,C,-76.5365804,37.1298249,C
201601818,2016-03-01,2232,SHOPLIFTING,2600 BLK JEFFERSON AVE,-76.42135,36.9825725,C,-76.42135,36.9825725,C
201651621,2016-03-02,2118,SHOPLIFTING,12100 BLK JEFFERSON AVE,-76.493523,37.105174,C,-76.493523,37.105174,C
201601862,2016-03-03,1419,SHOPLIFTING,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M,-76.504475,37.119529,M
201601880,2016-03-04,903,SHOPLIFTING,2300 BLK JEFFERSON AVE,-76.4199088,36.9795191,R,-76.4199088,36.9795191,R
201651656,2016-03-04,1247,SHOPLIFTING,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C,-76.4441522,37.0204523,C
201651662,2016-03-04,1541,SHOPLIFTING,14800 BLK WARWICK BLVD,-76.541317,37.135346,R,-76.541317,37.135346,R
201651663,2016-03-04,1601,SHOPLIFTING,12300 BLK JEFFERSON AVE,-76.495616,37.112658,C,-76.495616,37.112658,C
201651669,2016-03-04,1816,SHOPLIFTING,11800 BLK JEFFERSON AVE,-76.4812475,37.0858157,C,-76.4812475,37.0858157,C
201601912,2016-03-05,1419,SHOPLIFTING,12300 BLK JEFFERSON AVE,-76.495616,37.112658,C,-76.495616,37.112658,C
201651705,2016-03-06,1117,SHOPLIFTING,600 BLK TURNBERRY BLVD,-76.5171458,37.1350318,C,-76.5171458,37.1350318,C
201651713,2016-03-06,1448,SHOPLIFTING,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M,-76.504475,37.119529,M
201651745,2016-03-07,1732,SHOPLIFTING,500 BLK BLAND BLVD,-76.518583,37.122077,P,-76.518583,37.122077,P
201601997,2016-03-08,1717,SHOPLIFTING,2300 BLK JEFFERSON AVE,-76.4199088,36.9795191,R,-76.4199088,36.9795191,R
201651787,2016-03-09,1520,SHOPLIFTING,12000 BLK JEFFERSON AVE,-76.4871821,37.0973237,O,-76.4871821,37.0973237,O
201651808,2016-03-10,1120,SHOPLIFTING,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C,-76.4441522,37.0204523,C
201602060,2016-03-10,1330,SHOPLIFTING,300 BLK CHATHAM DR,-76.5119698,37.1243049,C,-76.5119698,37.1243049,C
201651821,2016-03-10,1659,SHOPLIFTING,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M,-76.504475,37.119529,M
201651820,2016-03-10,1746,SHOPLIFTING,12300 BLK JEFFERSON AVE,-76.495616,37.112658,C,-76.495616,37.112658,C
201602073,2016-03-10,2201,SHOPLIFTING,12100 BLK JEFFERSON AVE,-76.493523,37.105174,C,-76.493523,37.105174,C
201602075,2016-03-11,50,SHOPLIFTING,2600 BLK JEFFERSON AVE,-76.42135,36.9825725,C,-76.42135,36.9825725,C
201651831,2016-03-11,1103,SHOPLIFTING,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C,-76.4441522,37.0204523,C
201651841,2016-03-11,1554,SHOPLIFTING,500 BLK J CLYDE MORRIS BLVD,-76.4833383,37.0634596,O,-76.4833383,37.0634596,O
201651888,2016-03-13,1528,SHOPLIFTING,12300 BLK JEFFERSON AVE,-76.495616,37.112658,C,-76.495616,37.112658,C
201651928,2016-03-15,1217,SHOPLIFTING,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M,-76.504475,37.119529,M
201602235,2016-03-16,1300,SHOPLIFTING,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C,-76.4441522,37.0204523,C
201651970,2016-03-16,1535,SHOPLIFTING,6100 BLK JEFFERSON AVE,-76.4441522,37.0204523,C,-76.4441522,37.0204523,C
201651975,2016-03-16,2103,SHOPLIFTING,12000 BLK JEFFERSON AVE,-76.4871821,37.0973237,O,-76.4871821,37.0973237,O
201602266,2016-03-17,1449,SHOPLIFTING,5100 BLK JEFFERSON AVE,-76.4307291,36.9985925,C,-76.4307291,36.9985925,C
201602272,2016-03-17,1812,SHOPLIFTING,600 BLK DRESDEN DR,-76.4632065,37.0552779,C,-76.4632065,37.0552779,C
201652002,2016-03-17,2312,SHOPLIFTING,12400 BLK JEFFERSON AVE,-76.504475,37.119529,M,-76.504475,37.119529,M
201652028,2016-03-18,1617,SHOPLIFTING,12300 BLK JEFFERSON AVE,-76.495616,37.112658,C,-76.495616,37.112658,C
201652033,2016-03-18,1806,SHOPLIFTING,12300 BLK JEFFERSON AVE,-76.495616,37.112658,C,-76.495616,37.112658,C
201602316,2016-03-19,1537,SHOPLIFTING,12700 BLK JEFFERSON AVE,-76.5184453,37.1374683,C,-76.5184453,37.1374683,C
201652059,2016-03-19,1641,SHOPLIFTING,12300 BLK JEFFERSON AVE,-76.495616,37.112658,C,-76.495616,37.112658,C
