201601359,2016-02-12,734,VEHICLE THEFT,700 BLK J CLYDE MORRIS BLVD,-76.4667135,37.0765421,C
201601372,2016-02-12,1335,VEHICLE THEFT,1500 BLK IVY AVE,-76.4136711,36.9746734,P
201601391,2016-02-13,830,VEHICLE THEFT,200 BLK RIVERS RIDGE CIR,-76.5666411,37.1669473,R
201601430,2016-02-15,100,VEHICLE THEFT,3900 BLK HORSE RUN GLN,-76.5246977,37.122123,R
201601437,2016-02-15,1307,VEHICLE THEFT,15000 BLK WARWICK BLVD,-76.5458415,37.137912,C
201651220,2016-02-15,2020,VEHICLE THEFT,6000 BLK JEFFERSON AVE,-76.4406831,37.0144032,C
201601459,2016-02-16,51,VEHICLE THEFT,300 BLK LEES MILL DR,-76.5675232,37.1684959,R
201601498,2016-02-16,2245,VEHICLE THEFT,900 BLK FOREST LAKE CT,-76.4229516,37.0020955,R
201601503,2016-02-17,831,VEHICLE THEFT,600 BLK 28TH ST,-76.4222882,36.9833657,C
201601515,2016-02-17,1807,VEHICLE THEFT,5500 BLK MARSHALL AVE,-76.4258909,37.0018699,R
201601521,2016-02-17,2128,VEHICLE THEFT,100 BLK DELMAR LN,-76.5264358,37.1251497,R
201601551,2016-02-19,925,VEHICLE THEFT,12000 BLK JEFFERSON AVE,-76.4871821,37.0973237,O
201601581,2016-02-20,408,VEHICLE THEFT,1000 BLK TEMPLE LN,-76.4248871,37.007583,R
201601605,2016-02-21,1418,VEHICLE THEFT,300 BLK BOULDER DR,-76.5576401,37.1605218,R
201601613,2016-02-21,2225,VEHICLE THEFT,13200 BLK CHRISTY LN,-76.542053,37.1685424,R
201651381,2016-02-22,808,VEHICLE THEFT,13200 BLK AQUEDUCT DR,-76.5170062,37.1154057,R
201601644,2016-02-23,1033,VEHICLE THEFT,12800 BLK JEFFERSON AVE,-76.5200872,37.1391605,C
201601678,2016-02-24,1637,VEHICLE THEFT,46TH ST / WASHINGTON AVE,-76.4386579,36.991192,M
201601684,2016-02-24,1847,VEHICLE THEFT,3200 BLK ROANOKE AVE,-76.4117219,36.9909285,R
201651548,2016-02-28,2158,VEHICLE THEFT,3400 BLK MADISON AVE,-76.4218782,36.9885122,R
201601791,2016-02-29,1641,VEHICLE THEFT,4600 BLK JEFFERSON AVE,-76.4292262,36.9951951,C
201601792,2016-02-29,1649,VEHICLE THEFT,600 BLK RIVER BEND CT,-76.4916212,37.1119875,R
201601800,2016-03-01,639,VEHICLE THEFT,300 BLK 72ND ST,-76.4490228,37.0108268,R
201601812,2016-03-01,1604,VEHICLE THEFT,64TH ST / HUNTINGTON AVE,-76.4433899,37.003644,R
201651598,2016-03-01,1853,VEHICLE THEFT,MINTON DR / WARWICK BLVD,-76.4934576,37.072922,C
201601845,2016-03-02,2135,VEHICLE THEFT,1200 BLK IVY AVE,-76.412378,36.973868,P
201601847,2016-03-02,2244,VEHICLE THEFT,1600 BLK IVY AVE,-76.4149731,36.975855,P
201601848,2016-03-02,2303,VEHICLE THEFT,100 BLK MOTOKA DR,-76.5266814,37.1305767,R
201601851,2016-03-03,914,VEHICLE THEFT,300 BLK ROSEMAN CT,-76.5475177,37.1362404,C
201601874,2016-03-03,1628,VEHICLE THEFT,0 BLK TALL PINES WAY,-76.5004841,37.0762371,R
201601909,2016-03-05,1340,VEHICLE THEFT,11900 BLK JEFFERSON AVE,-76.48382,37.0892377,C
201601915,2016-03-05,1700,VEHICLE THEFT,900 BLK J CLYDE MORRIS BLVD,-76.4589279,37.0888359,C
201601917,2016-03-05,1743,VEHICLE THEFT,12300 BLK JEFFERSON AVE,-76.495616,37.112658,C
201602006,2016-03-09,716,VEHICLE THEFT,900 BLK LAKEFRONT CMNS,-76.4735059,37.0886014,C
201602025,2016-03-09,1322,VEHICLE THEFT,7700 BLK WARWICK BLVD,-76.4485087,37.0161022,C
201602044,2016-03-10,806,VEHICLE THEFT,900 BLK MARCUS DR,-76.4632871,37.0977859,R
201651805,2016-03-10,910,VEHICLE THEFT,300 BLK MADELINE PL,-76.4705894,37.0782914,R
201602051,2016-03-10,1012,VEHICLE THEFT,600 BLK J CLYDE MORRIS BLVD,-76.4736857,37.0735663,C
201602055,2016-03-10,1244,VEHICLE THEFT,900 BLK MARCUS DR,-76.4632871,37.0977859,R
201602063,2016-03-10,1443,VEHICLE THEFT,1100 BLK 26TH ST,-76.4094673,36.986869,R
201602083,2016-03-11,928,VEHICLE THEFT,0 BLK RIVERLANDS DR,-76.4393035,37.0160727,R
201602093,2016-03-11,1203,VEHICLE THEFT,5000 BLK MERCURY BLVD,-76.4415084,37.0214429,C
201602127,2016-03-12,1458,VEHICLE THEFT,2600 BLK JEFFERSON AVE,-76.42135,36.9825725,C
201602142,2016-03-13,1023,VEHICLE THEFT,500 BLK ADAMS DR,-76.4582324,37.0550879,R
201602162,2016-03-14,545,VEHICLE THEFT,700 BLK BELLOWS WAY,-76.4963321,37.1180362,R
201651923,2016-03-15,1053,VEHICLE THEFT,400 BLK TURLINGTON RD,-76.4975033,37.0832609,C
201602202,2016-03-15,1446,VEHICLE THEFT,1600 BLK PETERSON PL,-76.398927,36.9828026,R
201602278,2016-03-17,2229,VEHICLE THEFT,25TH ST / JEFFERSON AVE,-76.4210991,36.9814417,C
201602298,2016-03-18,1642,VEHICLE THEFT,13700 BLK WARWICK BLVD,-76.5266492,37.1219266,C
201602300,2016-03-18,1824,VEHICLE THEFT,12500 BLK JEFFERSON AVE,-76.5100863,37.1276496,M
201602341,2016-03-21,746,VEHICLE THEFT,100 BLK LANDS END LN,-76.5631537,37.1563514,R
201652107,2016-03-22,45,VEHICLE THEFT,0 BLK BLAKE LOOP,-76.480502,37.0757939,R
201602368,2016-03-22,330,VEHICLE THEFT,0 BLK DORSEY RD,-76.481754,37.0782839,R
201602374,2016-03-22,1127,VEHICLE THEFT,500 BLK NEWMAN DR,-76.449831,37.069667,R
201602419,2016-03-23,1741,VEHICLE THEFT,4900 BLK ROCHESTER CT,-76.4264806,36.9981348,R
201602426,2016-03-23,2058,VEHICLE THEFT,600 BLK 40TH ST,-76.4269768,36.991052,C
201602445,2016-03-24,1324,VEHICLE THEFT,500 BLK BLAND BLVD,-76.518583,37.122077,P
201602447,2016-03-24,1352,VEHICLE THEFT,500 BLK DARTMOOR DR,-76.5257316,37.1382981,R
201602454,2016-03-24,1758,VEHICLE THEFT,0 BLK TRAVERSE RD,-76.4580576,37.0947029,C
201602466,2016-03-25,1036,VEHICLE THEFT,12900 BLK JEFFERSON AVE,-76.528324,37.1497,C
201602489,2016-03-26,231,VEHICLE THEFT,1200 BLK 20TH ST,-76.4039379,36.983409,R
201602491,2016-03-26,919,VEHICLE THEFT,100 BLK HENRY CLAY RD,-76.4601402,37.0517974,C
201602492,2016-03-26,1758,VEHICLE THEFT,0 BLK TRAVERSE RD,-76.4580576,37.0947029,C
201602502,2016-03-27,604,VEHICLE THEFT,400 BLK SAVAGE DR,-76.5194339,37.117074,R
201602508,2016-03-27,1240,VEHICLE THEFT,0 BLK SALLY ANN PL,-76.505043,37.151499,R
201602518,2016-03-28,650,VEHICLE THEFT,100 BLK WINDSOR CASTLE DR,-76.5224348,37.1437595,R
201602536,2016-03-28,1231,VEHICLE THEFT,0 BLK LOCHAVEN DR,-76.471298,37.107118,R
201602583,2016-03-29,1334,VEHICLE THEFT,48TH ST / HUNTINGTON AVE,-76.4376511,36.9931772,R
201602584,2016-03-29,1351,VEHICLE THEFT,2900 BLK JEFFERSON AVE,-76.4225706,36.9843615,C
201602585,2016-03-29,1425,VEHICLE THEFT,11200 BLK JEFFERSON AVE,-76.4657937,37.059528,C
201602594,2016-03-30,748,VEHICLE THEFT,100 BLK EDSYL ST,-76.5206647,37.1119612,R
201602629,2016-03-30,2035,VEHICLE THEFT,400 BLK THORNCLIFF DR,-76.5513195,37.1511864,R
201652361,2016-03-31,149,VEHICLE THEFT,100 BLK SADDLE DR,-76.5402474,37.097704,R
201652374,2016-03-31,1317,VEHICLE THEFT,2600 BLK JEFFERSON AVE,-76.42135,36.9825725,C
